,FullName,SegmentID,CD,CS_RoundSc_Q1_2016,CS_RoundSc_Q4_2016,CS_RoundSc_Q4_2017,Miles,SanDist,LAPD_Grid,Cat_Q1_2016,Cat_Q4_2016,Cat_Q4_2017
35557,Alley,39173,11,2,1,1,0.07724095951418,WLA,1465,Somewhat Clean,Clean,Clean
35558,Alley,39174,11,2,1,1,0.029593234331251,WLA,1465,Somewhat Clean,Clean,Clean
35559,Alley,39175,9,2,2,2,0.062993938214399,SC,1381,Somewhat Clean,Somewhat Clean,Somewhat Clean
35560,Alley,39176,8,3,1,1,0.093593214462633,SC,1233,Not Clean,Clean,Clean
35561,Alley,39177,11,1,1,1,0.029048288601378,WLA,1441,Clean,Clean,Clean
35562,Alley,39178,9,1,1,1,0.09650166060244,SC,1383,Clean,Clean,Clean
35563,Alley,39179,9,1,1,2,0.031251264832757,SC,1249,Clean,Clean,Somewhat Clean
35564,Alley,39180,9,1,1,1,0.031256998998385,SC,1383,Clean,Clean,Clean
35565,Alley,39181,9,1,1,1,0.03035382601881,SC,1391,Clean,Clean,Clean
35566,Alley,39182,11,2,1,1,0.109581117579506,WLA,1441,Somewhat Clean,Clean,Clean
35567,Alley,39183,8,2,1,1,0.055613031766931,SC,1243,Somewhat Clean,Clean,Clean
35568,Alley,39184,8,1,1,1,0.034404556220823,SC,1213,Clean,Clean,Clean
35569,Alley,39185,11,2,1,1,0.055283302707338,WLA,1455,Somewhat Clean,Clean,Clean
35570,Alley,39186,9,1,1,1,0.124734440978248,SC,1375,Clean,Clean,Clean
35571,Alley,39187,9,2,1,1,0.032883456651328,SC,1377,Somewhat Clean,Clean,Clean
35572,Alley,39188,9,0,1,1,0.021195138309552,0,1371,Not Evaluated,Clean,Clean
35573,Alley,39189,9,1,1,1,0.031476100168759,SC,1218,Clean,Clean,Clean
35574,Alley,39190,8,1,1,1,0.030598631889973,SC,1213,Clean,Clean,Clean
35575,Alley,39192,9,1,1,1,0.031434283332403,SC,1377,Clean,Clean,Clean
35576,Alley,39193,9,2,1,1,0.147627667160343,SC,1375,Somewhat Clean,Clean,Clean
35577,Alley,39194,5,1,1,1,0.145640404956881,NC,717,Clean,Clean,Clean
35578,Alley,39195,5,2,3,2,0.144929917501973,WLA,711,Somewhat Clean,Not Clean,Somewhat Clean
35579,Alley,39196,5,1,1,1,0.073708506885774,WLA,725,Clean,Clean,Clean
35580,Alley,39197,5,1,1,1,0.061425002692282,WLA,723,Clean,Clean,Clean
35581,Alley,39198,5,1,1,1,0.060966687788888,WLA,723,Clean,Clean,Clean
35582,Alley,39199,13,1,1,1,0.061112769946585,NC,218,Clean,Clean,Clean
35583,Alley,39200,1,2,2,1,0.138332989029055,NC,415,Somewhat Clean,Somewhat Clean,Clean
35584,Alley,39201,5,1,1,1,0.05964577277198,WLA,713,Clean,Clean,Clean
35585,Alley,39202,5,1,1,1,0.058560323901576,WLA,713,Clean,Clean,Clean
35586,Alley,39203,13,2,1,1,0.061961307524443,NC,218,Somewhat Clean,Clean,Clean
35587,,39204,14,2,1,1,0.171429928790301,NC,438,Somewhat Clean,Clean,Clean
35588,Alley,39205,5,1,1,1,0.058552183163126,WLA,722,Clean,Clean,Clean
35589,Alley,39206,13,3,1,2,0.101845279033164,NC,217,Not Clean,Clean,Somewhat Clean
35590,Alley,39207,10,2,1,2,0.12502573840926,NC,2046,Somewhat Clean,Clean,Somewhat Clean
35591,Alley,39208,10,2,2,1,0.185672119852927,WLA,753,Somewhat Clean,Somewhat Clean,Clean
35592,Alley,39209,5,1,1,1,0.119851562978017,WLA,858,Clean,Clean,Clean
35593,Alley,39210,4,1,1,1,0.053442570594373,WLA,743,Clean,Clean,Clean
35594,Alley,39211,8,0,1,1,0.040910790093079,0,338,Not Evaluated,Clean,Clean
35595,Alley,39212,13,1,1,1,0.095388109395371,NC,645,Clean,Clean,Clean
35596,Alley,39213,13,1,1,1,0.092633029677428,NC,646,Clean,Clean,Clean
35597,Alley,39214,1,2,1,2,0.146199276541299,NC,1147,Somewhat Clean,Clean,Somewhat Clean
35598,Alley,39215,1,1,1,2,0.163407544873473,NC,1147,Clean,Clean,Somewhat Clean
35599,Alley,39216,13,1,1,1,0.041815191071956,NC,666,Clean,Clean,Clean
35600,Alley,39217,13,2,1,1,0.062808437000641,NC,1151,Somewhat Clean,Clean,Clean
35601,Alley,39218,5,1,1,1,0.060590362511701,WLA,701,Clean,Clean,Clean
35602,Alley,39219,5,2,1,1,0.06441742136386,WLA,702,Somewhat Clean,Clean,Clean
35603,Alley,39220,5,2,1,1,0.069738011013286,WLA,705,Somewhat Clean,Clean,Clean
35604,Alley,39221,5,1,1,1,0.032367915619227,WLA,705,Clean,Clean,Clean
35605,Alley,39222,5,1,2,1,0.038471818785658,NC,706,Clean,Somewhat Clean,Clean
35606,Alley,39223,5,1,1,1,0.067633763626904,NC,706,Clean,Clean,Clean
35607,,39224,14,2,2,1,0.140642716474765,NC,426,Somewhat Clean,Somewhat Clean,Clean
35608,Alley,39225,5,2,2,1,0.061939367793141,WLA,701,Somewhat Clean,Somewhat Clean,Clean
35609,Alley,39226,5,2,1,1,0.06099452704569,WLA,701,Somewhat Clean,Clean,Clean
35610,Alley,39227,5,1,1,1,0.059719426833929,WLA,702,Clean,Clean,Clean
35611,Alley,39228,5,1,1,1,0.041906376358784,NC,706,Clean,Clean,Clean
35612,Alley,39229,5,1,1,1,0.031359023056845,NC,706,Clean,Clean,Clean
35613,Alley,39230,14,0,1,1,0.033137629907542,0,426,Not Evaluated,Clean,Clean
35614,Alley,39231,1,2,2,1,0.203496016464913,NC,1178,Somewhat Clean,Somewhat Clean,Clean
35615,Alley,39234,1,2,1,2,0.116710886957843,NC,1178,Somewhat Clean,Clean,Somewhat Clean
35616,Alley,39235,13,3,2,3,0.155403258649098,NC,1162,Not Clean,Somewhat Clean,Not Clean
35617,Alley,39236,1,2,1,1,0.111864097243553,NC,1178,Somewhat Clean,Clean,Clean
35618,Alley,39238,13,0,1,1,0.024051553203181,0,1173,Not Evaluated,Clean,Clean
35619,,39239,13,1,1,1,0.031017667948537,NC,1175,Clean,Clean,Clean
35620,Alley,39240,13,2,1,2,0.114326857279804,NC,217,Somewhat Clean,Clean,Somewhat Clean
35621,Alley,39241,14,2,1,1,0.069957080308146,NC,439,Somewhat Clean,Clean,Clean
35622,Alley,39242,5,1,1,1,0.055909334947369,WLA,721,Clean,Clean,Clean
35623,Alley,39243,5,1,1,1,0.060670631476372,WLA,721,Clean,Clean,Clean
35624,Alley,39244,14,2,2,1,0.07035885430869,NC,439,Somewhat Clean,Somewhat Clean,Clean
35625,Alley,39245,5,2,1,1,0.181833128660809,WLA,722,Somewhat Clean,Clean,Clean
35626,Alley,39246,1,0,1,1,0.027270858484718,0,424,Not Evaluated,Clean,Clean
